,name_x,cuisine,description_x,price_category,breakfast,lunch,sandwiches,city,post_code,street,number,number_addon,phone,url,latitude,longitude,delivery_charge,min_order,payment_cash,payment_card,waiting_time,delivery_time,delivery_postcode,rating_value,rating_count,data_source,host,name_y,description_y,price
11,Bebs Kitchen,"['Halal', 'Indian']",,,,,,Brixton,SW2 5RJ,Acre Lane,126,,02036598915,bebskitchen.co.uk,51.4597176557928,-0.12429074378266236,2,5,ENABLED,YES,15,45,SW9 9,4.9,3,foodhub,bebskitchen.co.uk,Pilau Rice,Saffron flavoured,3.50
12,Bebs Kitchen,"['Halal', 'Indian']",,,,,,Brixton,SW2 5RJ,Acre Lane,126,,02036598915,bebskitchen.co.uk,51.4597176557928,-0.12429074378266236,2,5,ENABLED,YES,15,45,SW9 9,4.9,3,foodhub,bebskitchen.co.uk,Tarka Dal,A classic blend of four lentils tempered with garlic,5.95
13,Bebs Kitchen,"['Halal', 'Indian']",,,,,,Brixton,SW2 5RJ,Acre Lane,126,,02036598915,bebskitchen.co.uk,51.4597176557928,-0.12429074378266236,2,5,ENABLED,YES,15,45,SW9 9,4.9,3,foodhub,bebskitchen.co.uk,Paneer Shashlik,"A colourful combination of cottage cheese, tomatoes, capsicum and onion, marinaded and then char grilled in the tandoori",6.95
14,Bebs Kitchen,"['Halal', 'Indian']",,,,,,Brixton,SW2 5RJ,Acre Lane,126,,02036598915,bebskitchen.co.uk,51.4597176557928,-0.12429074378266236,2,5,ENABLED,YES,15,45,SW9 9,4.9,3,foodhub,bebskitchen.co.uk,Sag Paneer,Home made cottage cheese cooked with creamed spinach and cumin seeds,5.95
15,Bebs Kitchen,"['Halal', 'Indian']",,,,,,Brixton,SW2 5RJ,Acre Lane,126,,02036598915,bebskitchen.co.uk,51.4597176557928,-0.12429074378266236,2,5,ENABLED,YES,15,45,SW9 9,4.9,3,foodhub,bebskitchen.co.uk,Brinjal Bhaji,"Aubergine cooked with onion, herbs and spices",5.95
16,Big Ben Pizza,"['Burgers', 'Desserts', 'Pizza']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145,,02070917288,bigbenpizza.co.uk,51.49259582441256,-0.11673968590300898,2,5,ENABLED,YES,10,30,SW9 9,4.4,3,foodhub,bigbenpizza.co.uk,Only 4 Two,"Any 2x 10inch pizza, 4pcs garlic bread, potato wedges or coleslaw or 8pcs chicken wings and 2x cans of soft drink",16.99
17,Big Ben Pizza,"['Burgers', 'Desserts', 'Pizza']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145,,02070917288,bigbenpizza.co.uk,51.49259582441256,-0.11673968590300898,2,5,ENABLED,YES,10,30,SW9 9,4.4,3,foodhub,bigbenpizza.co.uk,8pcs Hot Chicken Wings,,4.50
18,Big Ben Pizza,"['Burgers', 'Desserts', 'Pizza']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145,,02070917288,bigbenpizza.co.uk,51.49259582441256,-0.11673968590300898,2,5,ENABLED,YES,10,30,SW9 9,4.4,3,foodhub,bigbenpizza.co.uk,Buy One 12inch Pizza,"Buy one pizza and get 2x burgers and 3x cans of drink. Not including margherita, cheese crust and half pounder burger",17.99
19,Big Ben Pizza,"['Burgers', 'Desserts', 'Pizza']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145,,02070917288,bigbenpizza.co.uk,51.49259582441256,-0.11673968590300898,2,5,ENABLED,YES,10,30,SW9 9,4.4,3,foodhub,bigbenpizza.co.uk,Half Pounder Burger,,3.50
20,Big Ben Pizza,"['Burgers', 'Desserts', 'Pizza']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145,,02070917288,bigbenpizza.co.uk,51.49259582441256,-0.11673968590300898,2,5,ENABLED,YES,10,30,SW9 9,4.4,3,foodhub,bigbenpizza.co.uk,"12"" Margherita",,8.50
21,Bombay Inn,"['Desserts', 'Indian', 'Indian Curries']","Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.",,,,,London,SW2 1HF,BRIXTON HILL,252,,02086717372,bombayinnonline.com,51.44765821992692,-0.1244054999999662,2,5,ENABLED,YES,10,40,SW9 9,4.4,3,foodhub,bombayinnonline.com,Pilau Rice,,3.50
22,Bombay Inn,"['Desserts', 'Indian', 'Indian Curries']","Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.",,,,,London,SW2 1HF,BRIXTON HILL,252,,02086717372,bombayinnonline.com,51.44765821992692,-0.1244054999999662,2,5,ENABLED,YES,10,40,SW9 9,4.4,3,foodhub,bombayinnonline.com,Lamb Korma,,7.95
23,Bombay Inn,"['Desserts', 'Indian', 'Indian Curries']","Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.",,,,,London,SW2 1HF,BRIXTON HILL,252,,02086717372,bombayinnonline.com,51.44765821992692,-0.1244054999999662,2,5,ENABLED,YES,10,40,SW9 9,4.4,3,foodhub,bombayinnonline.com,Bhindi Bhaji,Okra,4.95
24,Bombay Inn,"['Desserts', 'Indian', 'Indian Curries']","Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.",,,,,London,SW2 1HF,BRIXTON HILL,252,,02086717372,bombayinnonline.com,51.44765821992692,-0.1244054999999662,2,5,ENABLED,YES,10,40,SW9 9,4.4,3,foodhub,bombayinnonline.com,Saag Paneer,,4.95
25,Bombay Inn,"['Desserts', 'Indian', 'Indian Curries']","Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.",,,,,London,SW2 1HF,BRIXTON HILL,252,,02086717372,bombayinnonline.com,51.44765821992692,-0.1244054999999662,2,5,ENABLED,YES,10,40,SW9 9,4.4,3,foodhub,bombayinnonline.com,Lamb Vindaloo,,6.95
26,Bombay Kitchen,"['Indian', 'Indian Curries']","Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.",,,,,London,SW2 4UN,New Park Road, 48,,02086781760,bombaykitchenonline.com,51.448432219927426,-0.1256253999999899,2,5,ENABLED,YES,10,35,SW9 9,4.7,2,foodhub,bombaykitchenonline.com,Pilau Rice,,3.50
27,Bombay Kitchen,"['Indian', 'Indian Curries']","Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.",,,,,London,SW2 4UN,New Park Road, 48,,02086781760,bombaykitchenonline.com,51.448432219927426,-0.1256253999999899,2,5,ENABLED,YES,10,35,SW9 9,4.7,2,foodhub,bombaykitchenonline.com,Peshwari Nan,"Sweet,nuts",3.50
28,Bombay Kitchen,"['Indian', 'Indian Curries']","Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.",,,,,London,SW2 4UN,New Park Road, 48,,02086781760,bombaykitchenonline.com,51.448432219927426,-0.1256253999999899,2,5,ENABLED,YES,10,35,SW9 9,4.7,2,foodhub,bombaykitchenonline.com,Onion Bhajee,,3.50
29,Bombay Kitchen,"['Indian', 'Indian Curries']","Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.",,,,,London,SW2 4UN,New Park Road, 48,,02086781760,bombaykitchenonline.com,51.448432219927426,-0.1256253999999899,2,5,ENABLED,YES,10,35,SW9 9,4.7,2,foodhub,bombaykitchenonline.com,Chicken Tikka Massala,,8.95
30,Bombay Kitchen,"['Indian', 'Indian Curries']","Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.",,,,,London,SW2 4UN,New Park Road, 48,,02086781760,bombaykitchenonline.com,51.448432219927426,-0.1256253999999899,2,5,ENABLED,YES,10,35,SW9 9,4.7,2,foodhub,bombaykitchenonline.com,Garlic Nan,,3.95
31,Cardamom Club,"['Curry', 'Indian Curries', 'Kebab']",,,,,,Trinity Road,SW17 7RE,Trinity Road,18,,02086720088,cardamomclubtakeaway.com,51.43605937915588,-0.16024027454556888,2,5,ENABLED,YES,30,60,SW9 9,0.0,4,foodhub,cardamomclubtakeaway.com,Garlic Naan,Baked with fresh garlic,3.10
32,Cardamom Club,"['Curry', 'Indian Curries', 'Kebab']",,,,,,Trinity Road,SW17 7RE,Trinity Road,18,,02086720088,cardamomclubtakeaway.com,51.43605937915588,-0.16024027454556888,2,5,ENABLED,YES,30,60,SW9 9,0.0,4,foodhub,cardamomclubtakeaway.com,Pilau Rice For 2 People,,4.75
33,Cardamom Club,"['Curry', 'Indian Curries', 'Kebab']",,,,,,Trinity Road,SW17 7RE,Trinity Road,18,,02086720088,cardamomclubtakeaway.com,51.43605937915588,-0.16024027454556888,2,5,ENABLED,YES,30,60,SW9 9,0.0,4,foodhub,cardamomclubtakeaway.com,Peshwari Naan,"Naan bread baked with sultana, coconut and nuts, Sweet and fragrant",3.95
34,Cardamom Club,"['Curry', 'Indian Curries', 'Kebab']",,,,,,Trinity Road,SW17 7RE,Trinity Road,18,,02086720088,cardamomclubtakeaway.com,51.43605937915588,-0.16024027454556888,2,5,ENABLED,YES,30,60,SW9 9,0.0,4,foodhub,cardamomclubtakeaway.com,Onion Bhaji,"Chickpea flour and finely onion combined with garam masala and a modicum of chilli, <br/>Deep fried",4.25
35,Cardamom Club,"['Curry', 'Indian Curries', 'Kebab']",,,,,,Trinity Road,SW17 7RE,Trinity Road,18,,02086720088,cardamomclubtakeaway.com,51.43605937915588,-0.16024027454556888,2,5,ENABLED,YES,30,60,SW9 9,0.0,4,foodhub,cardamomclubtakeaway.com,Chicken Tikka Masala,"Contains cashew nuts, Tender chicken breast cooked in the tandoor served in a rich masala sauce",8.95
36,Crown Point Pizza And Grill,"['Alcohol', 'Burgers', 'Peri Peri']",,,,,,London,SE27 0QP,Knights Hill,266,,02031050222,crownpointpizzaandgrill.co.uk,51.42307601990937,-0.10577654999997321,2,5,ENABLED,YES,10,30,SW9 9,4.8,5,foodhub,crownpointpizzaandgrill.co.uk,8pcs Chicken Wings Meal,Served with your choice of one side and can of soft Drink,5.99
37,Crown Point Pizza And Grill,"['Alcohol', 'Burgers', 'Peri Peri']",,,,,,London,SE27 0QP,Knights Hill,266,,02031050222,crownpointpizzaandgrill.co.uk,51.42307601990937,-0.10577654999997321,2,5,ENABLED,YES,10,30,SW9 9,4.8,5,foodhub,crownpointpizzaandgrill.co.uk,Quarter Chicken Meal,Served with your choice of one side and can of soft drink,4.99
38,Crown Point Pizza And Grill,"['Alcohol', 'Burgers', 'Peri Peri']",,,,,,London,SE27 0QP,Knights Hill,266,,02031050222,crownpointpizzaandgrill.co.uk,51.42307601990937,-0.10577654999997321,2,5,ENABLED,YES,10,30,SW9 9,4.8,5,foodhub,crownpointpizzaandgrill.co.uk,Half Chicken Meal,Served with your choice of one side and can of soft drink,6.99
39,Crown Point Pizza And Grill,"['Alcohol', 'Burgers', 'Peri Peri']",,,,,,London,SE27 0QP,Knights Hill,266,,02031050222,crownpointpizzaandgrill.co.uk,51.42307601990937,-0.10577654999997321,2,5,ENABLED,YES,10,30,SW9 9,4.8,5,foodhub,crownpointpizzaandgrill.co.uk,Grilled Chicken Fillet Burger Meal,Peri peri chicken breast fillet grilled to your favourite spiciness with mayonnaise and salad. Extra cheese and pineapple 0.50,5.99
40,Crown Point Pizza And Grill,"['Alcohol', 'Burgers', 'Peri Peri']",,,,,,London,SE27 0QP,Knights Hill,266,,02031050222,crownpointpizzaandgrill.co.uk,51.42307601990937,-0.10577654999997321,2,5,ENABLED,YES,10,30,SW9 9,4.8,5,foodhub,crownpointpizzaandgrill.co.uk,8pcs Grill Chicken Wings,,3.99
41,Curry Base,"['Indian', 'Kebab', 'Milkshakes']","Curry Base in London offers a variety of Great Tasting Lamb Tikka, Kebab, Seafood, Biryani, Salads, Balti Dishes, Milkshakes & Many More Delicious Delights Online Now.",,,,,London,SW11 5RQ,Lavender Hill,62,,02072280222,curry-base.com,51.46609167414545,-0.1539384739868055,2,5,ENABLED,YES,10,30,SW9 9,4.4,-1,foodhub,curry-base.com,87. Sag Paneer Main,Spinach and cheese cooked in creamy sauce,6.99
42,Curry Base,"['Indian', 'Kebab', 'Milkshakes']","Curry Base in London offers a variety of Great Tasting Lamb Tikka, Kebab, Seafood, Biryani, Salads, Balti Dishes, Milkshakes & Many More Delicious Delights Online Now.",,,,,London,SW11 5RQ,Lavender Hill,62,,02072280222,curry-base.com,51.46609167414545,-0.1539384739868055,2,5,ENABLED,YES,10,30,SW9 9,4.4,-1,foodhub,curry-base.com,86. Chilli Paneer Main,Homemade cheese with fresh green chilli,6.99
43,Curry Base,"['Indian', 'Kebab', 'Milkshakes']","Curry Base in London offers a variety of Great Tasting Lamb Tikka, Kebab, Seafood, Biryani, Salads, Balti Dishes, Milkshakes & Many More Delicious Delights Online Now.",,,,,London,SW11 5RQ,Lavender Hill,62,,02072280222,curry-base.com,51.46609167414545,-0.1539384739868055,2,5,ENABLED,YES,10,30,SW9 9,4.4,-1,foodhub,curry-base.com,85. Vegetables Dhansak Main,Sweet sour hot mixed vegetables cooked with lentils,6.99
45,Forno Pizza,"['Desserts', 'Halal', 'Pasta']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145-147,,02070917266,fornopizzaonline.com,51.492603294922546,-0.1166265177910275,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,fornopizzaonline.com,"10b. 16"" Buffalo",,14.40
46,Forno Pizza,"['Desserts', 'Halal', 'Pasta']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145-147,,02070917266,fornopizzaonline.com,51.492603294922546,-0.1166265177910275,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,fornopizzaonline.com,69. Bolognese Pasta,Tomato sauce and minced beef,6.50
47,Forno Pizza,"['Desserts', 'Halal', 'Pasta']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145-147,,02070917266,fornopizzaonline.com,51.492603294922546,-0.1166265177910275,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,fornopizzaonline.com,Double Deal B,"Any 2 x 16"" Pizzas and a bottle of drink",23.99
48,Forno Pizza,"['Desserts', 'Halal', 'Pasta']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145-147,,02070917266,fornopizzaonline.com,51.492603294922546,-0.1166265177910275,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,fornopizzaonline.com,"1b. 16"" Margherita",,12.00
49,Forno Pizza,"['Desserts', 'Halal', 'Pasta']",,,,,,Lambeth,SE11 6EE,Lambeth Walk,145-147,,02070917266,fornopizzaonline.com,51.492603294922546,-0.1166265177910275,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,fornopizzaonline.com,"4b. 16"" Prosciutto E Funghi",,13.40
52,HOT TAKE,"['Chinese', 'Desserts', 'Noodles']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,hottakelondon.co.uk,51.471529332499706,-0.16740797095569304,2,5,ENABLED,YES,10,20,SW9 9,3.0,4,foodhub,hottakelondon.co.uk,Egg Fried Rice,"Egg, Contains Soya",3.99
53,HOT TAKE,"['Chinese', 'Desserts', 'Noodles']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,hottakelondon.co.uk,51.471529332499706,-0.16740797095569304,2,5,ENABLED,YES,10,20,SW9 9,3.0,4,foodhub,hottakelondon.co.uk,Crispy Shredded Beef With Chilli And Carrots,Spicy. Contains soya,7.40
54,HOT TAKE,"['Chinese', 'Desserts', 'Noodles']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,hottakelondon.co.uk,51.471529332499706,-0.16740797095569304,2,5,ENABLED,YES,10,20,SW9 9,3.0,4,foodhub,hottakelondon.co.uk,4pcs Vegetarian Spring Roll,"Vegetarian. Served with sweet and sour sauce, Contains Sesame seeds and Soya",3.29
55,HOT TAKE,"['Chinese', 'Desserts', 'Noodles']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,hottakelondon.co.uk,51.471529332499706,-0.16740797095569304,2,5,ENABLED,YES,10,20,SW9 9,3.0,4,foodhub,hottakelondon.co.uk,Sesame Prawn On Toast,"Served with sweet and sour sauce, Contains Sesame seeds and Soya",5.10
56,HOT TAKE,"['Chinese', 'Desserts', 'Noodles']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,hottakelondon.co.uk,51.471529332499706,-0.16740797095569304,2,5,ENABLED,YES,10,20,SW9 9,3.0,4,foodhub,hottakelondon.co.uk,(B) Chicken Chow Mein,,7.29
58,King Grill,"['Burgers', 'Southern Fried Chicken']",,,,,,Battersea,SW11 4LX,Battersea Park Road,287,,02076223030,kinggrillbattersea.com,51.47428551994591,-0.1532611000000088,2,5,DISABLED,YES,10,30,SW9,5.0,-1,foodhub,kinggrillbattersea.com,Grilled Peri Peri Chicken Burger,,4.49
59,King Grill,"['Burgers', 'Southern Fried Chicken']",,,,,,Battersea,SW11 4LX,Battersea Park Road,287,,02076223030,kinggrillbattersea.com,51.47428551994591,-0.1532611000000088,2,5,DISABLED,YES,10,30,SW9,5.0,-1,foodhub,kinggrillbattersea.com,Large Curly Fries,,3.49
60,King Grill,"['Burgers', 'Southern Fried Chicken']",,,,,,Battersea,SW11 4LX,Battersea Park Road,287,,02076223030,kinggrillbattersea.com,51.47428551994591,-0.1532611000000088,2,5,DISABLED,YES,10,30,SW9,5.0,-1,foodhub,kinggrillbattersea.com,Quarter Pounder Burger,,3.79
61,King Grill,"['Burgers', 'Southern Fried Chicken']",,,,,,Battersea,SW11 4LX,Battersea Park Road,287,,02076223030,kinggrillbattersea.com,51.47428551994591,-0.1532611000000088,2,5,DISABLED,YES,10,30,SW9,5.0,-1,foodhub,kinggrillbattersea.com,Chocolate Fudge Cake,,3.99
62,King Grill,"['Burgers', 'Southern Fried Chicken']",,,,,,Battersea,SW11 4LX,Battersea Park Road,287,,02076223030,kinggrillbattersea.com,51.47428551994591,-0.1532611000000088,2,5,DISABLED,YES,10,30,SW9,5.0,-1,foodhub,kinggrillbattersea.com,Quarter Pounder Burger Meal,,4.99
63,La Parma Pizzeria Battersea,"['Desserts', 'Drinks', 'Pasta']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,laparmapizzeria-battersea.co.uk,51.471561523164596,-0.16744638681404744,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,laparmapizzeria-battersea.co.uk,"10"" Margherita",,6.95
64,La Parma Pizzeria Battersea,"['Desserts', 'Drinks', 'Pasta']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,laparmapizzeria-battersea.co.uk,51.471561523164596,-0.16744638681404744,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,laparmapizzeria-battersea.co.uk,Carbonara Penne Pasta,Bacon and organic egg in cream sauce with parmesan,6.49
65,La Parma Pizzeria Battersea,"['Desserts', 'Drinks', 'Pasta']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,laparmapizzeria-battersea.co.uk,51.471561523164596,-0.16744638681404744,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,laparmapizzeria-battersea.co.uk,8pcs Spicy Chicken Wings,,3.99
66,La Parma Pizzeria Battersea,"['Desserts', 'Drinks', 'Pasta']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,laparmapizzeria-battersea.co.uk,51.471561523164596,-0.16744638681404744,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,laparmapizzeria-battersea.co.uk,Pomodoro Penne Pasta,Garlic and fresh basil in tomato sauce,6.49
67,La Parma Pizzeria Battersea,"['Desserts', 'Drinks', 'Pasta']",,,,,,London,SW11 3BL,Battersea Park Road,545,,02077380712,laparmapizzeria-battersea.co.uk,51.471561523164596,-0.16744638681404744,2,5,ENABLED,YES,10,30,SW9 9,0.0,-1,foodhub,laparmapizzeria-battersea.co.uk,Carbonara Spaghetti Pasta,Bacon and organic egg in cream sauce with parmesan,6.49
68,London Fast Food,"['Burgers', 'Kebab', 'Pasta']",,,,,,Brixton,SW9 8RR,Coldharbour Lane,231,,02077332178,londonfastfood.com,51.465323817543194,-0.10296958251490462,2,5,ENABLED,YES,10,30,SW9,0.0,3,foodhub,londonfastfood.com,6pcs Spicy BBQ Wings,,3.49
69,London Fast Food,"['Burgers', 'Kebab', 'Pasta']",,,,,,Brixton,SW9 8RR,Coldharbour Lane,231,,02077332178,londonfastfood.com,51.465323817543194,-0.10296958251490462,2,5,ENABLED,YES,10,30,SW9,0.0,3,foodhub,londonfastfood.com,Beef Lasagne,,4.99
70,London Fast Food,"['Burgers', 'Kebab', 'Pasta']",,,,,,Brixton,SW9 8RR,Coldharbour Lane,231,,02077332178,londonfastfood.com,51.465323817543194,-0.10296958251490462,2,5,ENABLED,YES,10,30,SW9,0.0,3,foodhub,londonfastfood.com,Value Box,"2pcs Chicken and Chips, 3pcs Spicy wings, can of drink and Dips",6.99
71,London Fast Food,"['Burgers', 'Kebab', 'Pasta']",,,,,,Brixton,SW9 8RR,Coldharbour Lane,231,,02077332178,londonfastfood.com,51.465323817543194,-0.10296958251490462,2,5,ENABLED,YES,10,30,SW9,0.0,3,foodhub,londonfastfood.com,Any Super Pizza,"Any 2x Super Pizza, 2x Sides, 1.5ltr Bottle of drink",19.99
72,London Fast Food,"['Burgers', 'Kebab', 'Pasta']",,,,,,Brixton,SW9 8RR,Coldharbour Lane,231,,02077332178,londonfastfood.com,51.465323817543194,-0.10296958251490462,2,5,ENABLED,YES,10,30,SW9,0.0,3,foodhub,londonfastfood.com,6pcs Spicy Hot Wings,,3.49
73,Mr Ma Kitchen,"['Noodles', 'Japanese', 'Chinese']","Mr Ma Kitchen, is a takeaway based in Newington Butts , London. offer great tasting Chinese, Sweet and Sour Dishes, Korean, Japanese,Cantonese and oriental food. Order online at Mr Ma Chinese London,London",,,,,London,SE11 4RN,Newington Butts,150,,02075826655,mrmaonline.co.uk,51.490970,-0.103722,2,15,ENABLED,YES,20,50,SW9 9,4.5,3,foodhub,mrmaonline.co.uk,2b. Half Aromatic Crispy Duck ,"Served with pancakes, spring onions, cucumber and hoi sin sauce",21.50
